NAME,NAT_TEAM,CLUB,LEAGUE,POS,ROLE,AGE_GR,AGE_EX,MATCHES,GOALS,ASSISTS,Y-CARDS,R-CARDS,MINUTES,N-CAPS,N-GOALS
Daler Kuzyayev,Russia,Zenit St. Petersburg,Russia,MF,Central Midfield,21-25,25,5,0,0,0,0,303,6,0
Yury Gazinsky,Russia,FK Krasnodar,Russia,MF,Central Midfield,26-30,28,4,1,0,2,0,266,6,0
Alan Dzagoev,Russia,CSKA Moscow,Russia,MF,Central Midfield,26-30,28,2,0,1,0,0,42,57,9
Fyodor Smolov,Russia,FK Krasnodar,Russia,FW,Centre-Forward,26-30,28,5,0,0,1,0,219,32,12
Roman Zobnin,Russia,Spartak Moscow,Russia,MF,Central Midfield,21-25,24,5,0,2,1,0,510,12,0
Andrey Lunyov,Russia,Zenit St. Petersburg,Russia,GK,Goalkeeper,26-30,26,0,0,0,0,0,0,3,0
Fyodor Kudryashov,Russia,Rubin Kazan,Russia,DF,Left-Back,31-35,31,4,0,0,0,0,334,19,0
Vladimir Granat,Russia,Rubin Kazan,Russia,DF,Centre-Back,31-35,31,1,0,0,0,0,74,12,1
Aleksei Miranchuk,Russia,Lokomotiv Moscow,Russia,MF,Attacking Midfield,21-25,22,1,0,0,0,0,60,18,4
Anton Miranchuk,Russia,Lokomotiv Moscow,Russia,MF,Central Midfield,21-25,22,0,0,0,0,0,0,6,0
Aleksandr Golovin,Russia,CSKA Moscow,Russia,MF,Central Midfield,21-25,22,4,1,2,1,0,402,19,2
Yuri Zhirkov,Russia,Zenit St. Petersburg,Russia,MF,Left Midfield,31-35,34,3,0,0,0,0,221,84,2
Aleksandr Samedov,Russia,Spartak Moscow,Russia,MF,Right Midfield,31-35,33,5,0,0,0,0,359,48,7
Vladimir Gabulov,Russia,Club Brugge KV,Belgium,GK,Goalkeeper,31-35,34,0,0,0,0,0,0,10,0
Aleksandr Yerokhin,Russia,Zenit St. Petersburg,Russia,MF,Attacking Midfield,26-30,28,2,0,0,0,0,89,17,0
Artem Dzyuba,Russia,Arsenal Tula,Russia,FW,Centre-Forward,26-30,29,5,3,2,0,0,333,23,11
Igor Smolnikov,Russia,Zenit St. Petersburg,Russia,DF,Right-Back,26-30,29,1,0,0,0,1,36,27,0
Abdullah Al-Mayouf,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,GK,Goalkeeper,31-35,31,1,0,0,0,0,90,11,0
Mansoor Al-Harbi,Saudi Arabia,Al-Ahli Jeddah,Saudi Arabia,DF,Left-Back,26-30,30,0,0,0,0,0,0,40,1
Osama Hawsawi,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,DF,Centre-Back,31-35,34,3,0,0,0,0,270,135,7
Ali Al-Bulaihi,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,DF,Centre-Back,26-30,28,1,0,0,0,0,90,4,0
Omar Hawsawi,Saudi Arabia,Al-Nasr Riyadh,Saudi Arabia,DF,Centre-Back,31-35,32,1,0,0,0,0,90,42,3
Mohammed Al-Breik,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,DF,Right-Back,21-25,25,3,0,0,0,0,270,11,1
Salman Al-Faraj,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,MF,Central Midfield,26-30,28,3,1,0,0,0,270,43,3
Yahya Al-Shehri,Saudi Arabia,CD Leganes,Spain,FW,Right Winger,26-30,28,2,0,0,0,0,84,57,8
Hattan Bahebri,Saudi Arabia,Al-Shabab Riyadh,Saudi Arabia,MF,Attacking Midfield,21-25,25,3,0,0,0,0,157,5,0
Mohammad Al-Sahlawi,Saudi Arabia,Al-Nasr Riyadh,Saudi Arabia,FW,Centre-Forward,31-35,31,2,0,0,0,0,96,40,28
Abdulmalek Al-Khaibri,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,MF,Defensive Midfield,31-35,32,0,0,0,0,0,0,36,0
Mohamed Kanno,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,MF,Central Midfield,21-25,23,1,0,0,0,0,15,6,1
Yasser Al-Shahrani,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,DF,Left-Back,26-30,26,3,0,0,0,0,270,37,0
Abdullah Otayf,Saudi Arabia,Al-Hilal Riyadh,Saudi Arabia,MF,Defensive Midfield,21-25,25,3,0,1,0,0,244,16,1
Abdullah Al-Khaibari,Saudi Arabia,Al-Shabab Riyadh,Saudi Arabia,MF,Defensive Midfield,21-25,21,0,0,0,0,0,0,5,0
Housain Al-Mogahwi,Saudi Arabia,Al-Ahli Jeddah,Saudi Arabia,MF,Central Midfield,26-30,30,2,0,0,0,0,136,18,1
Taisir Al-Jassim,Saudi Arabia,Al-Ahli Jeddah,Saudi Arabia,MF,Central Midfield,31-35,33,2,0,0,1,0,134,132,19
Salem Al-Dawsari,Saudi Arabia,Villarreal CF,Spain,FW,Right Winger,26-30,26,3,1,0,0,0,270,33,4
Fahad Al-Muwallad,Saudi Arabia,Levante UD,Spain,FW,Right Winger,21-25,23,3,0,1,0,0,183,45,10
Muhannad Assiri,Saudi Arabia,Al-Ahli Jeddah,Saudi Arabia,FW,Centre-Forward,31-35,31,2,0,0,0,0,31,18,4
Yasser Al-Mosailem,Saudi Arabia,Al-Ahli Jeddah,Saudi Arabia,GK,Goalkeeper,31-35,34,1,0,0,0,0,90,32,0
Mohammed Al-Owais,Saudi Arabia,Al-Ahli Jeddah,Saudi Arabia,GK,Goalkeeper,26-30,26,1,0,0,0,0,90,6,0
Motaz Hawsawi,Saudi Arabia,Al-Ahli Jeddah,Saudi Arabia,DF,Centre-Back,26-30,26,1,0,0,0,0,90,17,0
Fernando Muslera,Uruguay,Galatasaray SK,Turkey,GK,Goalkeeper,31-35,32,5,0,0,0,0,450,97,0
Jose Gimenez,Uruguay,Atletico Madrid,Spain,DF,Centre-Back,21-25,23,4,1,0,0,0,360,42,5
Diego Godin,Uruguay,Atletico Madrid,Spain,DF,Centre-Back,31-35,32,5,0,0,0,0,450,116,8
Guillermo Varela,Uruguay,CA Penarol,Uruguay,DF,Right-Back,21-25,25,2,0,0,0,0,180,3,0
Carlos Sanchez,Uruguay,CF Monterrey,Mexico,MF,Right Midfield,31-35,33,3,0,2,0,0,123,36,1
Rodrigo Bentancur,Uruguay,Juventus FC,Italy,MF,Central Midfield,21-25,21,5,0,1,2,0,365,7,0
Cristian Rodriguez,Uruguay,CA Penarol,Uruguay,MF,Left Midfield,31-35,32,5,0,0,1,0,165,105,11
Nahitan Nandez,Uruguay,Club Atletico Boca Juniors,Argentina,MF,Central Midfield,21-25,22,5,0,0,0,0,293,12,0
Luis Suarez,Uruguay,FC Barcelona,Spain,FW,Centre-Forward,31-35,31,5,2,1,0,0,450,98,51
Giorgian De Arrascaeta,Uruguay,Cruzeiro Esporte Clube,Brazil,MF,Attacking Midfield,21-25,24,2,0,0,0,0,86,14,2
Cristhian Stuani,Uruguay,Girona FC,Spain,FW,Centre-Forward,31-35,31,2,0,0,0,0,75,41,5
Martin Campana,Uruguay,Club Atletico Independiente,Argentina,GK,Goalkeeper,26-30,29,0,0,0,0,0,0,1,0
Gaston Silva,Uruguay,Club Atletico Independiente,Argentina,DF,Left-Back,21-25,24,0,0,0,0,0,0,17,0
Lucas Torreira,Uruguay,UC Sampdoria,Italy,MF,Defensive Midfield,21-25,22,5,0,0,0,0,304,3,0
Matias Vecino,Uruguay,Inter Milan,Italy,MF,Central Midfield,26-30,26,5,0,0,0,0,416,22,1
Maxi Pereira,Uruguay,FC Porto,Portugal,DF,Right-Back,31-35,34,0,0,0,0,0,0,125,3
Diego Laxalt,Uruguay,Genoa CFC,Italy,MF,Left Midfield,21-25,25,4,0,0,0,0,301,6,0
Maxi Gomez,Uruguay,Celta de Vigo,Spain,FW,Centre-Forward,21-25,21,2,0,0,0,0,31,5,0
Sebastian Coates,Uruguay,Sporting CP,Portugal,DF,Centre-Back,26-30,27,1,0,0,0,0,90,30,1
Jonathan Urretaviscaya,Uruguay,CF Monterrey,Mexico,FW,Right Winger,26-30,28,1,0,0,0,0,17,4,0
Edinson Cavani,Uruguay,Paris Saint-Germain,France,FW,Centre-Forward,31-35,31,4,3,0,0,0,344,101,42
Martin Caceres,Uruguay,SS Lazio,Italy,DF,Right-Back,31-35,31,5,0,0,0,0,450,76,4
Martin Silva,Uruguay,Club de Regatas Vasco da Gama,Brazil,GK,Goalkeeper,31-35,35,0,0,0,0,0,0,11,0
Alireza Beiranvand,Iran,Persepolis FC,Iran,GK,Goalkeeper,21-25,25,3,0,0,0,0,270,22,0
Mehdi Torabi,Iran,Saipa FC,Iran,FW,Left Winger,21-25,23,0,0,0,0,0,0,17,4
Ehsan Hajsafi,Iran,Olympiacos Piraeus,Greece,DF,Left-Back,26-30,28,3,0,1,1,0,215,94,6
Rouzbeh Cheshmi,Iran,Esteghlal FC,Iran,DF,Centre-Back,21-25,25,1,0,0,0,0,90,10,1
Milad Mohammadi,Iran,Akhmat Grozny,Russia,DF,Left-Back,21-25,24,2,0,0,0,0,55,19,0
Saeid Ezatolahi,Iran,Amkar Perm,Russia,MF,Central Midfield,21-25,21,2,0,0,0,0,166,25,1
Masoud Shojaei,Iran,AEK Athens,Greece,MF,Attacking Midfield,31-35,34,1,0,0,1,0,68,74,8
Morteza Pouraliganji,Iran,Al Sadd Sports Club,Qatar,DF,Centre-Back,26-30,26,3,0,0,0,0,270,27,2
Omid Ebrahimi,Iran,Esteghlal FC,Iran,MF,Defensive Midfield,26-30,30,3,0,0,1,0,261,30,0
Karim Ansarifard,Iran,Olympiacos Piraeus,Greece,FW,Centre-Forward,26-30,28,3,1,0,1,0,178,64,17
Vahid Amiri,Iran,Persepolis FC,Iran,FW,Left Winger,26-30,30,3,0,0,1,0,266,36,1
Mohammad Rashid Mazaheri,Iran,Zob Ahan Esfahan,Iran,GK,Goalkeeper,26-30,29,0,0,0,0,0,0,3,0
Mohammad Reza Khanzadeh,Iran,Padideh Khorasan FC,Iran,DF,Centre-Back,26-30,26,0,0,0,0,0,0,11,1
Saman Ghoddos,Iran,Ostersunds FK,Sweden,FW,Centre-Forward,21-25,24,3,0,0,0,0,29,8,1
Pejman Montazeri,Iran,Esteghlal FC,Iran,DF,Centre-Back,31-35,34,0,0,0,0,0,0,46,1
Reza Ghoochannejhad,Iran,SC Heerenveen,Netherlands,FW,Centre-Forward,26-30,30,0,0,0,0,0,0,43,17
Mehdi Taremi,Iran,Al Gharafa Sports Club,Qatar,FW,Centre-Forward,21-25,25,3,0,0,0,0,202,26,11
Alireza Jahanbakhsh,Iran,AZ Alkmaar,Netherlands,FW,Right Winger,21-25,24,3,0,0,1,0,171,38,4
Majid Hosseini,Iran,Esteghlal FC,Iran,DF,Centre-Back,21-25,22,3,0,0,0,0,189,1,0
Sardar Azmoun,Iran,Rubin Kazan,Russia,FW,Centre-Forward,21-25,23,3,0,0,1,0,270,33,23
Ashkan Dejagah,Iran,Nottingham Forest,England,FW,Right Winger,31-35,32,0,0,0,0,0,0,46,9
Amir Abedzadeh,Iran,CS Maritimo,Portugal,GK,Goalkeeper,21-25,25,0,0,0,0,0,0,1,0
Ramin Rezaeian,Iran,KV Oostende,Belgium,DF,Right-Back,26-30,28,3,0,0,0,0,270,28,2
"Yassine ""Bono"" Bounou",Morocco,Girona FC,Spain,GK,Goalkeeper,26-30,27,0,0,0,0,0,0,11,0
Achraf Hakimi,Morocco,Real Madrid,Spain,DF,Right-Back,15-20,19,3,0,0,1,0,270,10,1
Hamza Mendyl,Morocco,LOSC Lille,France,DF,Left-Back,15-20,20,0,0,0,0,0,0,13,0
Manuel da Costa,Morocco,Basaksehir,Turkey,DF,Centre-Back,31-35,32,3,0,0,1,0,188,28,1
Medhi Benatia,Morocco,Juventus FC,Italy,DF,Centre-Back,31-35,31,2,0,0,1,0,180,57,2
Romain Saiss,Morocco,Wolverhampton Wanderers,England,DF,Centre-Back,26-30,28,2,0,0,0,0,180,24,1
Hakim Ziyech,Morocco,Ajax Amsterdam,Netherlands,MF,Attacking Midfield,21-25,25,3,0,0,0,0,265,18,9
