NAME,NAT_TEAM,CLUB,LEAGUE,POS,ROLE,AGE_GR,AGE_EX,MATCHES,GOALS,ASSISTS,Y-CARDS,R-CARDS,MINUTES,N-CAPS,N-GOALS
Ashley Young,England,Manchester United,England,MF,Left Midfield,31-35,33,5,0,1,0,0,462,34,7
Marcus Rashford,England,Manchester United,England,FW,Centre-Forward,15-20,20,6,0,0,0,0,209,19,3
Dele Alli,England,Tottenham Hotspur,England,MF,Attacking Midfield,21-25,22,5,1,0,0,0,364,25,2
Ruben Loftus-Cheek,England,Crystal Palace,England,MF,Central Midfield,21-25,22,4,0,1,1,0,274,4,0
Trent Alexander-Arnold,England,Liverpool FC,England,DF,Right-Back,15-20,19,1,0,0,0,0,79,1,0
Nick Pope,England,Burnley FC,England,GK,Goalkeeper,26-30,26,0,0,0,0,0,0,1,0
Jaime Penedo,Panama,Dinamo Bukarest,Romania,GK,Goalkeeper,36+,36,3,0,0,0,0,270,131,0
Michael Amir Murillo,Panama,New York Red Bulls,United States,DF,Right-Back,21-25,22,2,0,0,2,0,180,22,2
Harold Cummings,Panama,San Jose Earthquakes,United States,DF,Centre-Back,26-30,26,1,0,0,0,0,44,52,0
Fidel Escobar,Panama,New York Red Bulls,United States,DF,Centre-Back,21-25,23,3,0,0,1,0,270,23,1
Roman Torres,Panama,Seattle Sounders FC,United States,DF,Centre-Back,31-35,32,3,0,0,0,0,236,111,10
Gabriel Gomez,Panama,Atletico Bucaramanga,Colombia,MF,Defensive Midfield,31-35,34,3,0,0,1,0,249,144,12
Blas Perez,Panama,CSD Municipal,Guatemala,FW,Centre-Forward,36+,37,2,0,0,0,0,163,118,43
Edgar Barcenas,Panama,Cafetaleros de Tapachula,Mexico,FW,Left Winger,21-25,24,3,0,0,1,0,222,29,0
Gabriel Torres,Panama,Huachipato FC,Chile,FW,Centre-Forward,26-30,29,2,0,0,0,0,72,72,14
Ismael Diaz,Panama,RC Deportivo Fabril,Spain,FW,Left Winger,21-25,21,1,0,0,0,0,27,11,2
Armando Cooper,Panama,Club Universidad de Chile,Chile,MF,Central Midfield,26-30,30,2,0,0,2,0,180,98,7
Jose Calderon,Panama,UD Universitario,Panama,GK,Goalkeeper,31-35,32,0,0,0,0,0,0,31,0
Adolfo Machado,Panama,Houston Dynamo,United States,DF,Centre-Back,31-35,33,1,0,0,0,0,90,76,1
Valentin Pimentel,Panama,CD Plaza Amador,Panama,FW,Right Winger,26-30,27,0,0,0,0,0,0,23,1
Erick Davis,Panama,DAC Dunajska Streda,Slovakia,DF,Left-Back,26-30,27,2,0,0,1,0,180,38,0
Abdiel Arroyo,Panama,LD Alajuelense,Costa Rica,FW,Centre-Forward,21-25,24,2,0,0,0,0,30,33,5
Luis Ovalle,Panama,CD Olimpia,Honduras,DF,Left-Back,26-30,29,1,0,0,0,0,90,25,0
Luis Tejada,Panama,Sport Boys Callao,Peru,FW,Centre-Forward,36+,36,2,0,0,1,0,51,105,43
Ricardo Avila,Panama,KAA Gent,Belgium,MF,Defensive Midfield,21-25,21,2,0,1,1,0,109,5,0
Anibal Godoy,Panama,San Jose Earthquakes,United States,MF,Defensive Midfield,26-30,28,3,0,0,1,0,242,88,1
Jose Luis Rodriguez,Panama,KAA Gent,Belgium,MF,Left Midfield,15-20,20,3,0,1,0,0,243,2,0
Alex Rodriguez,Panama,San Francisco FC,Panama,GK,Goalkeeper,26-30,27,0,0,0,0,0,0,6,0
Felipe Baloy,Panama,CSD Municipal,Guatemala,DF,Centre-Back,36+,37,1,1,0,0,0,21,102,3
Farouk Ben Mustapha,Tunisia,Al-Shabab Riyadh,Saudi Arabia,GK,Goalkeeper,26-30,29,2,0,0,0,0,165,15,0
Syam Ben Youssef,Tunisia,Kasimpasa,Turkey,DF,Centre-Back,26-30,29,2,0,0,0,0,131,42,1
Yohan Benalouane,Tunisia,Leicester City,England,DF,Centre-Back,31-35,31,1,0,0,0,0,49,4,0
Yassine Meriah,Tunisia,Club Sportif Sfaxien,Tunisia,DF,Centre-Back,21-25,25,3,0,0,0,0,270,16,1
Oussama Haddadi,Tunisia,FCO Dijon,France,DF,Left-Back,26-30,26,1,0,1,0,0,90,9,0
Rami Bedoui,Tunisia,Etoile Sportive du Sahel,Tunisia,DF,Centre-Back,26-30,28,1,0,0,0,0,90,8,0
Saif-Eddine Khaoui,Tunisia,ES Troyes AC,France,MF,Attacking Midfield,21-25,23,1,0,0,0,0,90,5,0
Fakhreddine Ben Youssef,Tunisia,Al-Ettifaq,Saudi Arabia,FW,Right Winger,26-30,27,3,1,1,0,0,270,39,5
Anice Badri,Tunisia,Esperance Tunis,Tunisia,FW,Right Winger,26-30,27,3,0,0,1,0,224,7,2
Wahbi Khazri,Tunisia,Stade Rennais FC,France,MF,Attacking Midfield,26-30,27,3,2,2,0,0,264,35,12
Dylan Bronn,Tunisia,KAA Gent,Belgium,DF,Centre-Back,21-25,23,2,1,0,0,0,114,5,0
Ali Maaloul,Tunisia,El Ahly Cairo,Egypt,DF,Left-Back,26-30,28,2,0,0,0,0,180,46,0
Ferjani Sassi,Tunisia,Al-Nasr Riyadh,Saudi Arabia,MF,Central Midfield,26-30,26,3,1,0,2,0,194,39,3
Mohamed Amine Ben Amor,Tunisia,Al-Ahli Jeddah,Saudi Arabia,MF,Defensive Midfield,26-30,26,1,0,0,0,0,16,26,1
Ahmed Khalil,Tunisia,Club Africain Tunis,Tunisia,MF,Defensive Midfield,21-25,23,1,0,0,0,0,13,3,0
Aymen Mathlouthi,Tunisia,Al-Batin,Saudi Arabia,GK,Goalkeeper,31-35,33,1,0,0,0,0,90,70,0
Ellyes Skhiri,Tunisia,HSC Montpellier,France,MF,Defensive Midfield,21-25,23,3,0,0,0,0,270,5,0
Bassem Srarfi,Tunisia,OGC Nice,France,FW,Right Winger,21-25,21,1,0,0,0,0,1,5,0
Saber Khalifa,Tunisia,Club Africain Tunis,Tunisia,FW,Centre-Forward,31-35,31,1,0,0,0,0,5,44,7
Ghailene Chaalali,Tunisia,Esperance Tunis,Tunisia,MF,Central Midfield,21-25,24,1,0,0,1,0,90,6,1
Hamdi Nagguez,Tunisia,Zamalek SC,Egypt,DF,Right-Back,21-25,25,2,0,1,0,0,156,15,0
Mouez Hassen,Tunisia,LB Chateauroux,France,GK,Goalkeeper,21-25,23,1,0,0,0,0,15,3,0
Naim Sliti,Tunisia,FCO Dijon,France,FW,Left Winger,21-25,25,3,0,0,0,0,182,17,3
David Ospina,Colombia,Arsenal FC,England,GK,Goalkeeper,26-30,29,4,0,0,0,0,390,86,0
